		 580  685  791  896 1002 1107 1213 1318 1424 1529 1635 1740 1846 1951 2057 2162 2268 2373 2479 2584 2690 
Average
1.43	9.15 9.11 9.09 9.18 8.79 8.74 8.99 9.02 9.13 8.88 8.79 8.86 7.76 8.49 7.22 0.00 0.00 0.00 0.00 8.23 8.23 
1.57	0.00 0.00 9.22 9.05 9.30 9.47 0.00 9.12 9.15 9.06 8.85 8.96 8.22 8.12 8.27 7.50 7.77 0.00 0.00 8.06 0.00 
1.71	0.00 9.23 0.00 0.00 0.00 9.33 9.07 9.03 9.20 8.97 8.88 8.99 8.20 8.24 8.12 8.14 0.00 0.00 0.00 7.94 0.00 
1.85	0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 8.99 8.84 8.60 8.16 8.28 7.93 8.06 0.00 0.00 0.00 7.88 0.00 
1.99	0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 8.90 8.81 8.52 8.25 8.35 7.95 7.89 0.00 0.00 7.93 0.00 
2.12	0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 9.28 8.96 8.57 8.26 8.36 8.00 0.00 0.00 7.99 8.05 0.00 
2.26	0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 8.80 8.31 8.28 8.08 7.85 0.00 7.97 0.00 0.00 
2.40	0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 8.13 8.12 7.85 8.01 8.02 0.00 0.00 
2.54	0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 7.98 7.93 7.96 0.00 0.00 0.00 

Number of points
0.32	0 0 0 0 6 6 5 2 3 1 1 1 1 0 0 0 0 0 0 0 0 
0.46	0 30 927 322 72 29 16 5 2 0 0 0 1 0 0 0 0 0 0 0 0 
0.60	314 767 117 217 161 61 9 4 4 1 1 0 0 1 0 0 0 0 0 0 0 
0.74	2462 56 16 83 119 49 53 30 6 4 3 0 0 0 0 0 0 0 0 0 0 
0.88	21 10 27 85 186 156 194 67 8 5 2 2 0 0 0 0 0 0 0 0 0 
1.01	21 26 22 30 57 129 132 295 100 71 6 2 0 0 1 0 0 0 0 0 0 
1.15	30 17 10 15 19 25 39 250 174 87 13 2 3 2 4 0 0 0 0 0 0 
1.29	4 8 5 9 9 22 38 53 180 237 89 14 5 0 5 1 0 1 1 2 1 
1.43	7 2 1 1 5 3 9 23 44 111 39 13 9 3 3 0 0 0 0 3 3 
1.57	0 0 1 1 2 1 0 3 14 25 43 3 1 8 2 1 1 0 0 3 0 
1.71	0 1 0 0 0 2 1 1 2 6 10 4 2 2 6 1 0 0 0 3 0 
1.85	0 0 0 0 0 0 0 0 0 7 8 8 9 2 5 3 0 0 0 2 0 
1.99	0 0 0 0 0 0 0 0 0 0 4 6 11 9 1 7 1 0 0 2 0 
2.12	0 0 0 0 0 0 0 0 0 0 2 4 14 12 9 4 0 0 1 1 0 
2.26	0 0 0 0 0 0 0 0 0 0 0 0 2 14 11 11 7 0 4 0 0 
2.40	0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 17 9 6 6 0 0 
2.54	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 18 41 4 0 0 0 

